File Name,Visibility Class,X,Y,Trajectory Pattern
0000.jpg,1,917.0,284.0,1.0
0001.jpg,0,,,
0002.jpg,0,,,
0003.jpg,0,,,
0004.jpg,0,,,
0005.jpg,0,,,
0006.jpg,0,,,
0007.jpg,0,,,
0008.jpg,0,,,
0009.jpg,0,,,
0010.jpg,0,,,
0011.jpg,0,,,
0012.jpg,0,,,
0013.jpg,1,940.0,261.0,0.0
0014.jpg,1,939.0,263.0,1.0
0015.jpg,0,,,
0016.jpg,0,,,
0017.jpg,0,,,
0018.jpg,0,,,
0019.jpg,0,,,
0020.jpg,0,,,
0021.jpg,1,984.0,263.0,1.0
0022.jpg,1,991.0,267.0,1.0
0023.jpg,1,992.0,273.0,1.0
0024.jpg,1,994.0,272.0,1.0
0025.jpg,1,994.0,273.0,1.0
0026.jpg,1,998.0,275.0,1.0
0027.jpg,1,1001.0,272.0,1.0
0028.jpg,1,1006.0,270.0,1.0
0029.jpg,1,1009.0,269.0,1.0
0030.jpg,1,1008.0,272.0,1.0
0031.jpg,1,1011.0,270.0,1.0
0032.jpg,1,1017.0,269.0,1.0
0033.jpg,1,1019.0,274.0,1.0
0034.jpg,1,1024.0,277.0,1.0
0035.jpg,1,1029.0,277.0,1.0
0036.jpg,1,1029.0,277.0,1.0
0037.jpg,1,1032.0,278.0,1.0
0038.jpg,1,1041.0,275.0,1.0
0039.jpg,1,1042.0,277.0,1.0
0040.jpg,1,1047.0,278.0,1.0
0041.jpg,1,1046.0,276.0,1.0
0042.jpg,1,1049.0,276.0,1.0
0043.jpg,1,1045.0,277.0,1.0
0044.jpg,2,1046.0,279.0,1.0
0045.jpg,2,1045.0,282.0,1.0
0046.jpg,2,1048.0,281.0,1.0
0047.jpg,0,,,
0048.jpg,0,,,
0049.jpg,0,,,
0050.jpg,0,,,
0051.jpg,0,,,
0052.jpg,0,,,
0053.jpg,0,,,
0054.jpg,0,,,
0055.jpg,0,,,
0056.jpg,1,1049.0,304.0,1.0
